"","CCA1","CCA2","Species"
"C.limbaughi",-0.0903027946513019,0.105760455245075,"C.limbaughi"
"D.holocanthus",-0.151690721371424,-0.0448357487573494,"D.holocanthus"
"M.dorsalis",0.0626638165156126,-0.014695424053867,"M.dorsalis"
"M.rosacea",0.0279906301996008,-0.0722407425436335,"M.rosacea"
"S.ghobban",0.0564967599375941,0.00222939226731012,"S.ghobban"
"S.rubroviolaceus",0.103797768259077,0.0442089356515618,"S.rubroviolaceus"
"S.verres",-0.000992867350822717,0.0215258903641612,"S.verres"
